"Reference" "Updated" "TotalStatesRef" "TotalStatesUpdt" "TotalTransitionsRef" "TotalTransitionsUpdt" "TotalFeaturesRef" "TotalFeaturesUpdt" "CommonFeatures" "RatioFeatures" "RatioStates" "RatioTransitions" "StatesFFSM" "TransitionsFFSM" "Precision" "Recall" "F.measure" "SPL" "Twise" "Index"
"109" "ffsm_3_kiss.txt" "00005_kiss.txt" 11 10 160 120 -1 -1 -1 -1 0.571428571428571 0.625 12 175 0.954545 0.65625 0.777778 "cpterminal" "2wise" 4
"110" "ffsm_4_kiss.txt" "00006_kiss.txt" 12 10 175 110 -1 -1 -1 -1 0.545454545454545 0.614035087719298 12 175 1 0.628571 0.77193 "cpterminal" "2wise" 5
"111" "ffsm_5_kiss.txt" "00007_kiss.txt" 12 8 175 72 -1 -1 -1 -1 0.6 0.708502024291498 12 175 1 0.411429 0.582996 "cpterminal" "2wise" 6
"112" "ffsm_6_kiss.txt" "00008_kiss.txt" 12 10 175 110 -1 -1 -1 -1 0.545454545454545 0.614035087719298 12 175 1 0.628571 0.77193 "cpterminal" "2wise" 7
"113" "00001_kiss.txt" "00002_kiss.txt" 10 8 120 72 13 13 7 0.368421052631579 0.611111111111111 0.744791666666667 11 143 0.680556 0.408333 0.510417 "cpterminal" "3wise" 1
"114" "ffsm_1_kiss.txt" "00003_kiss.txt" 11 8 143 80 -1 -1 -1 -1 0.578947368421053 0.677130044843049 11 151 0.9 0.503497 0.64574 "cpterminal" "3wise" 2
"115" "ffsm_2_kiss.txt" "00004_kiss.txt" 11 10 151 130 -1 -1 -1 -1 0.523809523809524 0.569395017793594 11 160 0.960317 0.801324 0.873646 "cpterminal" "3wise" 3
"116" "ffsm_3_kiss.txt" "00005_kiss.txt" 11 10 160 120 -1 -1 -1 -1 0.571428571428571 0.625 12 175 0.954545 0.65625 0.777778 "cpterminal" "3wise" 4
"117" "ffsm_4_kiss.txt" "00006_kiss.txt" 12 10 175 150 -1 -1 -1 -1 0.545454545454545 0.56 12 182 0.966216 0.817143 0.885449 "cpterminal" "3wise" 5
"118" "ffsm_5_kiss.txt" "00007_kiss.txt" 12 10 182 120 -1 -1 -1 -1 0.545454545454545 0.609271523178808 12 184 0.983333 0.648352 0.781457 "cpterminal" "3wise" 6
"119" "ffsm_6_kiss.txt" "00008_kiss.txt" 12 8 184 80 -1 -1 -1 -1 0.6 0.696969696969697 12 184 1 0.434783 0.606061 "cpterminal" "3wise" 7
"120" "ffsm_7_kiss.txt" "00009_kiss.txt" 12 10 184 120 -1 -1 -1 -1 0.545454545454545 0.605263157894737 12 184 1 0.652174 0.789474 "cpterminal" "3wise" 8
"121" "ffsm_8_kiss.txt" "00010_kiss.txt" 12 10 184 110 -1 -1 -1 -1 0.590909090909091 0.666666666666667 13 196 0.98 0.532609 0.690141 "cpterminal" "3wise" 9
"122" "ffsm_9_kiss.txt" "00011_kiss.txt" 13 10 196 130 -1 -1 -1 -1 0.565217391304348 0.610429447852761 13 199 0.984496 0.647959 0.781538 "cpterminal" "3wise" 10
"123" "ffsm_10_kiss.txt" "00012_kiss.txt" 13 8 199 80 -1 -1 -1 -1 0.619047619047619 0.71326164874552 13 199 1 0.40201 0.573477 "cpterminal" "3wise" 11
"124" "ffsm_11_kiss.txt" "00013_kiss.txt" 13 8 199 80 -1 -1 -1 -1 0.619047619047619 0.71326164874552 13 199 1 0.40201 0.573477 "cpterminal" "3wise" 12
"125" "ffsm_12_kiss.txt" "00014_kiss.txt" 13 8 199 72 -1 -1 -1 -1 0.619047619047619 0.734317343173432 13 199 1 0.361809 0.531365 "cpterminal" "3wise" 13
"126" "ffsm_13_kiss.txt" "00015_kiss.txt" 13 10 199 110 -1 -1 -1 -1 0.565217391304348 0.644012944983819 13 199 1 0.552764 0.711974 "cpterminal" "3wise" 14
"127" "ffsm_14_kiss.txt" "00016_kiss.txt" 13 10 199 130 -1 -1 -1 -1 0.565217391304348 0.604863221884498 13 199 1 0.653266 0.790274 "cpterminal" "3wise" 15
"128" "00001_kiss.txt" "00002_kiss.txt" 10 10 150 110 13 13 8 0.444444444444444 0.55 0.623076923076923 11 162 0.970297 0.653333 0.780876 "cpterminal" "4wise" 1
"129" "ffsm_1_kiss.txt" "00003_kiss.txt" 11 8 162 72 -1 -1 -1 -1 0.578947368421053 0.692307692307692 11 162 1 0.444444 0.615385 "cpterminal" "4wise" 2
"130" "ffsm_2_kiss.txt" "00004_kiss.txt" 11 10 162 120 -1 -1 -1 -1 0.523809523809524 0.578014184397163 11 163 1 0.734568 0.846975 "cpterminal" "4wise" 3
"131" "ffsm_3_kiss.txt" "00005_kiss.txt" 11 8 163 80 -1 -1 -1 -1 0.578947368421053 0.670781893004115 11 163 1 0.490798 0.658436 "cpterminal" "4wise" 4
"132" "ffsm_4_kiss.txt" "00006_kiss.txt" 11 8 163 80 -1 -1 -1 -1 0.578947368421053 0.670781893004115 11 163 1 0.490798 0.658436 "cpterminal" "4wise" 5
"133" "ffsm_5_kiss.txt" "00007_kiss.txt" 11 8 163 80 -1 -1 -1 -1 0.578947368421053 0.670781893004115 11 163 1 0.490798 0.658436 "cpterminal" "4wise" 6
"134" "ffsm_6_kiss.txt" "00008_kiss.txt" 11 10 163 120 -1 -1 -1 -1 0.523809523809524 0.575971731448763 11 163 1 0.736196 0.848057 "cpterminal" "4wise" 7
"135" "ffsm_7_kiss.txt" "00009_kiss.txt" 11 10 163 110 -1 -1 -1 -1 0.523809523809524 0.597069597069597 11 163 1 0.674847 0.805861 "cpterminal" "4wise" 8
"136" "ffsm_8_kiss.txt" "00010_kiss.txt" 11 10 163 150 -1 -1 -1 -1 0.523809523809524 0.533546325878594 11 167 0.979866 0.895706 0.935897 "cpterminal" "4wise" 9
"137" "ffsm_9_kiss.txt" "00011_kiss.txt" 11 10 167 130 -1 -1 -1 -1 0.523809523809524 0.562289562289562 11 167 1 0.778443 0.875421 "cpterminal" "4wise" 10
